; ============================================================
; 汇编列表文件
;
; 地址: 机器码 | 汇编指令
; ============================================================

0x00000000: 0x88400001 | ADDI R1, R0, #1
0x00000004: 0x88800002 | ADDI R2, R0, #2
0x00000008: 0x08C22000 | ADD  R3, R1, R2
0x0000000C: 0x91060001 | SUBI R4, R3, #1
0x00000010: 0x91460003 | SUBI R5, R3, #3
0x00000014: 0x89800FFF | ADDI R6, R0, #-1
0x00000018: 0x89CC0003 | ADDI R7, R6, #3
0x0000001C: 0x92000FFF | SUBI R8, R0, #-1
0x00000020: 0x92500FFE | SUBI R9, R8, #-2
0x00000024: 0x60069000 | BEQ R3, R9, _end
0x00000028: 0x00000000 | NOP
